file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\1.5커피_1.jpg,140.86101070950468,560.0,747.0,1.8666666666666667,7.344022274017334,0.0,0.1934045706636068,0.2754302925989673,9.0,0.1876935511827469,0.1834949254989624,0.24506613612174988,0.22875063121318817,-0.05737258493900299,-0.04525570571422577,1.5커피_1
data\images_raw\1.5커피_2.jpg,101.97628826530612,560.0,420.0,1.4,7.486359596252441,0.0,0.4502295918367347,0.0,0.0,0.19131040573120117,0.1758003681898117,0.25430747866630554,0.2197594791650772,-0.06299707293510437,-0.0439591109752655,1.5커피_2
data\images_raw\1158족욕카페_1.jpg,123.92513864983745,560.0,747.0,1.8666666666666667,7.6010284423828125,0.0,0.018301778542742397,0.0,0.0,0.23714785277843475,0.2312827855348587,0.19488030672073364,0.1823209673166275,0.04226754605770111,0.0489618182182312,1158족욕카페_1
data\images_raw\1158족욕카페_2.jpg,152.4047236394558,560.0,420.0,1.4,7.711457252502441,0.0,0.0,0.02108843537414966,2.0,0.2361878603696823,0.2184058576822281,0.19225892424583435,0.18332451581954956,0.04392893612384796,0.03508134186267853,1158족욕카페_2
data\images_raw\1158족욕카페_3.jpg,133.52553308471983,560.0,747.0,1.8666666666666667,7.612955093383789,0.01235417861923886,0.0,0.0,0.0,0.2622494101524353,0.2518799602985382,0.1875278651714325,0.1807098388671875,0.07472154498100281,0.07117012143135071,1158족욕카페_3
data\images_raw\1158족욕카페_4.jpg,141.63735311398355,560.0,851.0,1.8666666666666667,7.510932922363281,0.0,0.0,0.268014520731912,14.0,0.23762066662311554,0.21023978292942047,0.22249488532543182,0.20601122081279755,0.015125781297683716,0.004228562116622925,1158족욕카페_4
data\images_raw\1158족욕카페_5.jpg,148.9078122011857,560.0,747.0,1.8666666666666667,7.308571815490723,0.0,0.0,0.027688133486326257,6.0,0.23866689205169678,0.22860795259475708,0.20819628238677979,0.2000315934419632,0.030470609664916992,0.028576359152793884,1158족욕카페_5
data\images_raw\1158족욕카페_6.jpg,134.22727242524917,560.0,1075.0,1.8666666666666667,7.249639987945557,0.0,0.0,0.28704651162790695,15.0,0.2271820604801178,0.20566944777965546,0.2207864373922348,0.20131056010723114,0.006395623087882996,0.004358887672424316,1158족욕카페_6
data\images_raw\1225브라우니바_1.jpg,103.42048693586699,560.0,421.0,1.4033333333333333,7.622551918029785,0.0,0.0,0.011240244316253818,2.0,0.23530779778957367,0.23107515275478363,0.1975262463092804,0.18622024357318878,0.037781551480293274,0.04485490918159485,1225브라우니바_1
data\images_raw\1225브라우니바_2.jpg,134.55683209026583,560.0,747.0,1.8666666666666667,7.826746463775635,0.0,0.0,0.011871294702620003,3.0,0.233831986784935,0.21328945457935333,0.1879039704799652,0.17164653539657593,0.04592801630496979,0.041642919182777405,1225브라우니바_2
data\images_raw\1225브라우니바_3.jpg,159.43127988143047,560.0,747.0,1.8666666666666667,7.612827777862549,0.0,0.0,0.0,0.0,0.21069130301475525,0.19987571239471436,0.17767216265201569,0.17376361787319183,0.03301914036273956,0.026112094521522522,1225브라우니바_3
data\images_raw\1225브라우니바_4.jpg,134.17803356282272,560.0,747.0,1.8666666666666667,7.5440592765808105,0.0,0.0,0.04637358959648116,13.0,0.21988491714000702,0.18417072296142578,0.15438197553157806,0.15230636298656464,0.06550294160842896,0.031864359974861145,1225브라우니바_4
data\images_raw\1225브라우니바_5.jpg,128.11495266781412,560.0,747.0,1.8666666666666667,7.743328094482422,0.0,0.0,0.004623254924459743,2.0,0.2390843629837036,0.23168621957302094,0.19807203114032745,0.18245236575603485,0.04101233184337616,0.049233853816986084,1225브라우니바_5
data\images_raw\1225브라우니바_6.jpg,141.35718588640276,560.0,747.0,1.8666666666666667,7.805294036865234,0.0,0.0,0.2010147733792312,48.0,0.19574177265167236,0.17525529861450195,0.2047598659992218,0.19375725090503693,-0.009018093347549438,-0.018501952290534973,1225브라우니바_6
data\images_raw\12제라_1.jpg,151.56979591836733,560.0,420.0,1.4,7.787650108337402,0.0,0.0,0.0,0.0,0.22248056530952454,0.19762013852596283,0.17762331664562225,0.16650019586086273,0.04485724866390228,0.031119942665100098,12제라_1
data\images_raw\12제라_2.jpg,132.98416666666665,560.0,420.0,1.4,7.779233932495117,0.0,0.0,0.0,0.0,0.25610285997390747,0.23853455483913422,0.17360909283161163,0.16638194024562836,0.08249376714229584,0.07215261459350586,12제라_2
data\images_raw\12제라_3.jpg,138.37059948979592,560.0,420.0,1.4,7.573307037353516,0.0,0.0,0.0,0.0,0.2209000289440155,0.20298577845096588,0.1820463240146637,0.1686246395111084,0.03885370492935181,0.03436113893985748,12제라_3
data\images_raw\1727노리터_1.jpg,124.02834672021419,560.0,747.0,1.8666666666666667,7.545383930206299,0.0,0.0,0.004819277108433735,1.0,0.2501944303512573,0.2402653843164444,0.2252664715051651,0.21186131238937378,0.024927958846092224,0.028404071927070618,1727노리터_1
data\images_raw\1727노리터_2.jpg,125.31985969387755,560.0,560.0,1.8666666666666667,7.614424228668213,0.0,0.0,0.15767219387755102,8.0,0.23315973579883575,0.22677414119243622,0.20885294675827026,0.20024459064006805,0.02430678904056549,0.026529550552368164,1727노리터_2
data\images_raw\1727노리터_3.jpg,119.05631696428571,560.0,560.0,1.8666666666666667,7.726600170135498,0.0,0.0,0.05189094387755102,10.0,0.2548188865184784,0.21992500126361847,0.19540497660636902,0.18553109467029572,0.059413909912109375,0.034393906593322754,1727노리터_3
data\images_raw\1727노리터_4.jpg,137.28889387755103,560.0,875.0,1.8666666666666667,7.354931831359863,0.0,0.0,0.023657142857142856,1.0,0.22758129239082336,0.21140827238559723,0.2113361954689026,0.2036275416612625,0.016245096921920776,0.007780730724334717,1727노리터_4
data\images_raw\1727노리터_5.jpg,129.58954867087397,560.0,747.0,1.8666666666666667,7.552649021148682,0.0,0.0,0.019889080130043986,3.0,0.26223161816596985,0.22797618806362152,0.2249765694141388,0.21116340160369873,0.037255048751831055,0.01681278645992279,1727노리터_5
data\images_raw\1727노리터_6.jpg,160.6127848639456,560.0,420.0,1.4,7.823631763458252,0.0,0.0,0.05991496598639456,6.0,0.23589132726192474,0.2170429229736328,0.18631410598754883,0.1802232265472412,0.049577221274375916,0.0368196964263916,1727노리터_6
