,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg
count,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0,18371.0
mean,134.838958414471,558.7554841870339,602.0826846660498,1.6474467004155098,7.506098408511764,0.01617552745732034,0.016326970327821606,0.028654189635104327,2.8074138587991944,0.23768513342286032,0.2208267836987398,0.19902852847608457,0.18752073958636978,0.038656604946775704,0.033306044112369974
std,24.53377193482251,14.145875895225517,189.6133058034803,0.2837247533691643,0.431945621289632,0.06867917582032922,0.0929553207969764,0.06038208402386847,5.670774431008812,0.02342619858661916,0.022018625544162118,0.019459913927879935,0.016469705290522905,0.03155599705645622,0.028340437450937617
min,14.95230923694779,160.0,120.0,0.4,0.2996314167976379,0.0,0.0,0.0,0.0,0.1164915934205055,0.1113389059901237,0.1413054913282394,0.1290976405143737,-0.1180124878883361,-0.0878124386072158
25%,122.17239782890019,560.0,420.0,1.4,7.417550086975098,0.0,0.0,0.0,0.0,0.2230507731437683,0.20760508626699445,0.18567254394292831,0.17626439034938812,0.02257428318262095,0.0194306001067161
50%,135.29366035570854,560.0,661.0,1.8666666666666667,7.603173732757568,0.0,0.0,0.0024128686327077,1.0,0.2385410964488983,0.2225513458251953,0.1972216367721557,0.1863650232553482,0.0421390682458877,0.0372015088796615
75%,148.51778765678006,560.0,747.0,1.8666666666666667,7.725091218948364,0.0,0.0,0.029039371772805453,3.0,0.253457635641098,0.23585864901542658,0.2099668681621551,0.197227731347084,0.06016228348016735,0.052590899169444996
max,253.4596875,560.0,1280.0,1.8666666666666667,7.990475654602051,1.7715848214285714,1.9226683673469387,1.0,183.0,0.3269310295581817,0.2937817275524139,0.3115042150020599,0.2642477452754974,0.1274877786636352,0.1091692894697189
